Food and Serving,Calories,Calories from Fat,Total Fat (g),Sodium (g),Potassium (g),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Saturated Fat,Cholesterol (mg),Food Type
"Asparagus, 5 spears (93 g/3.3 oz)",20,0,0,0,230,4,2,2,2,10,15,2,2,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Bell Pepper, 1 medium (148 g/5.3 oz)",25,0,0,40,220,6,2,4,1,4,190,2,4,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Broccoli, 1 medium stalk (148 g/5.3 oz)",45,0,0.5,80,460,8,3,2,4,6,220,6,6,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Carrot, 1 carrot, 7"" long, 1 1/4"" diameter (78 g/2.8 oz)",30,0,0,60,250,7,2,5,1,110,10,2,2,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Cauliflower, 1/6 medium head (99 g/3.5 oz)",25,0,0,30,270,5,2,2,2,0,100,2,2,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Celery, 2 medium stalks (110 g/3.9 oz)",15,0,0,115,260,4,2,2,0,10,15,4,2,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Cucumber, 1/3 medium (99 g/3.5 oz)",10,0,0,0,140,2,1,1,1,4,10,2,2,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Green (Snap) Beans, 3/4 cup cut (83 g/3.0 oz)",20,0,0,0,200,5,3,2,1,4,10,4,2,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Green Cabbage, 1/12 medium head (84 g/3.0 oz)",25,0,0,20,190,5,2,3,1,0,70,4,2,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Green Onion, 1/4 cup chopped (25 g/0.9 oz)",10,0,0,10,70,2,1,1,0,2,8,2,2,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Iceberg Lettuce, 1/6 medium head (89 g/3.2 oz)",10,0,0,10,125,2,1,2,1,6,6,2,2,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Leaf Lettuce, 1 1/2 cups shredded (85 g/3.0 oz)",15,0,0,35,170,2,1,1,1,130,6,2,4,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Mushrooms, 5 medium (84 g/3.0 oz)",20,0,0,15,300,3,1,0,3,0,2,0,2,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Onion, 1 medium (148 g/5.3 oz)",45,0,0,5,190,11,3,9,1,0,20,4,4,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Potato, 1 medium (148 g/5.3 oz)",110,0,0,0,620,26,2,1,3,0,45,2,6,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Radishes, 7 radishes (85 g/3.0 oz)",10,0,0,55,190,3,1,2,0,0,30,2,2,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Summer Squash, 1/2 medium (98 g/3.5 oz)",20,0,0,0,260,4,2,2,1,6,30,2,2,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Sweet Corn, kernels from 1 medium ear (90 g/3.2 oz)",90,20,2.5,0,250,18,2,5,4,2,10,0,2,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Sweet Potato, 1 medium, 5"" long, 2"" diameter (130 g/4.6 oz)",100,0,0,70,440,23,4,7,2,120,30,4,4,0,0,"Vegetables, Serving Size (gram weight/ ounce weight)"
