Calories,Calories from Fat,Total Fat (g),Sodium (g),Potassium (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Cholesterol (mg),pc1,pc2,Food,Type
-1.21255461888004,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-0.45715374236419665,0.48882371673784436,-0.45070863566848923,-0.6128147332233855,-0.053980433358632084,-0.3164228987048659,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-1.5801802623488748,-0.150653862438594,Asparagus,Vegetables
-1.097163305694888,-0.5376760361637393,-0.5623389603857839,-0.16364010289108533,-0.5407710685537498,0.48882371673784436,-0.14352174431901613,-0.7211674831556363,-0.2576591819076975,2.969388816931752,-0.30721942541287,0.021825125276578622,-0.6314966801351254,-2.061368561580732,-0.7372244314407069,Bell Pepper,Vegetables
-0.63559805295428,-0.5376760361637393,-0.30442409885546196,0.3262762787705689,1.4660447599955269,1.234279884763057,-0.45070863566848923,-0.3961092333588839,-0.1897662657246757,3.532670825326601,1.3964519336948638,0.31767682347020004,-0.6314966801351254,-1.0939472762288622,-1.5908066710077953,Broccoli,Vegetables
-0.981771992509736,-0.5376760361637393,-0.5623389603857839,0.08131808793974181,-0.28991908998509025,0.48882371673784436,0.010071701355720442,-0.7211674831556363,3.340665375792458,-0.4103032334373407,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-1.7377046558753266,-0.7050626457014935,Carrot,Vegetables
-1.097163305694888,-0.5376760361637393,-0.5623389603857839,-0.2861191983064989,-0.12268443760598388,0.48882371673784436,-0.45070863566848923,-0.6128147332233855,-0.3934450142737411,1.2795427917472058,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-1.622583997928969,-0.390727645885402,Cauliflower,Vegetables
-1.327945932065192,-0.5376760361637393,-0.5623389603857839,0.7549531127245164,-0.20630176379553708,0.48882371673784436,-0.45070863566848923,-0.829520233087887,-0.053980433358632084,-0.3164228987048659,0.5446162541409969,-0.2740265729170428,-0.6314966801351254,-1.1240648433913651,-1.2059443189988994,Celery,Vegetables
-1.4433372452503441,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-1.2097096780701753,-0.2566324512873682,-0.6043020813432258,-0.7211674831556363,-0.2576591819076975,-0.4103032334373407,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-1.5482597446824797,-0.2993019989560897,Cucumber,Vegetables
-1.21255461888004,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-0.7080057209328562,1.234279884763057,-0.45070863566848923,-0.7211674831556363,-0.2576591819076975,-0.4103032334373407,0.5446162541409969,-0.2740265729170428,-0.6314966801351254,-1.7554542514098266,-0.5230179648376503,Green (Snap) Beans,Vegetables
-1.097163305694888,-0.5376760361637393,-0.5623389603857839,-0.4085982937219125,-0.7916230471224094,0.48882371673784436,-0.2971151899937527,-0.7211674831556363,-0.3934450142737411,0.716260783352357,0.5446162541409969,-0.2740265729170428,-0.6314966801351254,-1.6609985316765858,-0.7258854646780258,Green Cabbage,Vegetables
-1.4433372452503441,-0.5376760361637393,-0.5623389603857839,-0.531077389137326,-1.7950309613970477,-0.2566324512873682,-0.6043020813432258,-0.829520233087887,-0.3255520980907193,-0.4478553673303306,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-1.6705899669062199,-0.3913194211342318,Green Onion,Vegetables
-1.4433372452503441,-0.5376760361637393,-0.5623389603857839,-0.531077389137326,-1.3351356673545052,-0.2566324512873682,-0.45070863566848923,-0.7211674831556363,-0.1897662657246757,-0.48540750122332055,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-1.5720091801403213,-0.33930998418873315,Iceberg Lettuce,Vegetables
-1.327945932065192,-0.5376760361637393,-0.5623389603857839,-0.2248796505987921,-0.9588576995015158,-0.2566324512873682,-0.6043020813432258,-0.7211674831556363,4.019594537622676,-0.48540750122332055,-0.30721942541287,0.021825125276578622,-0.6314966801351254,-1.6855797379365225,-1.017644006487816,Leaf Lettuce,Vegetables
-1.21255461888004,-0.5376760361637393,-0.5623389603857839,-0.46983784142961926,0.1281675409626757,-0.2566324512873682,-0.7578955270179624,-0.5044619832911347,-0.3934450142737411,-0.5605117690093003,-1.159055104966737,-0.2740265729170428,-0.6314966801351254,-1.0877169962068751,0.21751086882293022,Mushrooms,Vegetables
-0.63559805295428,-0.5376760361637393,-0.5623389603857839,-0.5923169368450328,-0.7916230471224094,1.234279884763057,0.6244454840546667,-0.7211674831556363,-0.3934450142737411,-0.22254256397239108,0.5446162541409969,0.021825125276578622,-0.6314966801351254,-1.8064320222093166,-0.3510871270767298,Onion,Vegetables
0.8644890184526963,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,2.803921979028378,0.48882371673784436,-0.6043020813432258,-0.5044619832911347,-0.3934450142737411,0.24685910968998293,-0.30721942541287,0.31767682347020004,-0.6314966801351254,-0.08875105899136346,0.39642740988743813,Potato,Vegetables
-1.4433372452503441,-0.5376760361637393,-0.5623389603857839,0.020078540232035022,-0.7916230471224094,-0.2566324512873682,-0.45070863566848923,-0.829520233087887,-0.3934450142737411,-0.034781894507441485,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-1.4010980490299334,-0.5674615710335613,Radishes,Vegetables
-1.21255461888004,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-0.20630176379553708,0.48882371673784436,-0.45070863566848923,-0.7211674831556363,-0.1897662657246757,-0.034781894507441485,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-1.606575903236252,-0.14795755056931023,Summer Squash,Vegetables
0.40292376571208827,0.6131393394849659,0.7272353472658258,-0.6535564845527396,-0.28991908998509025,0.48882371673784436,0.010071701355720442,-0.3961092333588839,-0.3255520980907193,-0.4103032334373407,-1.159055104966737,-0.2740265729170428,-0.6314966801351254,-0.36420057860488436,1.7399880450158585,Sweet Corn,Vegetables
0.6337063920823923,-0.5376760361637393,-0.5623389603857839,0.20379718335515537,1.2988101076164205,1.9797360527882693,0.3172585927051936,-0.6128147332233855,3.680129956707567,-0.034781894507441485,0.5446162541409969,0.021825125276578622,-0.6314966801351254,-1.2771987175793245,-0.6938841230605008,Sweet Potato,Vegetables
-1.097163305694888,-0.5376760361637393,-0.5623389603857839,-0.4085982937219125,0.4626368457208885,-0.2566324512873682,-0.2971151899937527,-0.7211674831556363,0.28548414755647694,0.1529787749575081,-0.30721942541287,0.021825125276578622,-0.6314966801351254,-1.1799068977017513,-0.36303244829627707,Tomato,Vegetables
1.3260542711933045,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,-0.20630176379553708,2.725192220813482,3.081940614850452,-0.7211674831556363,-0.3255520980907193,-0.4478553673303306,-0.30721942541287,-0.2740265729170428,-0.6314966801351254,-2.311964895023761,1.2238748562963992,Apple,Fruits
-0.5202067397691279,1.4762508712214948,1.7588947933871137,-0.6535564845527396,-1.2097096780701753,-0.2566324512873682,-0.7578955270179624,-0.7211674831556363,-0.3934450142737411,-0.5229596351163105,-1.159055104966737,-0.2740265729170428,-0.6314966801351254,0.0754237440893819,2.0011135964066673,Avocado,Fruits
0.8644890184526963,-0.5376760361637393,-0.5623389603857839,-0.6535564845527396,1.3824274338059737,1.234279884763057,2.160379940802032,-0.7211674831556363,-0.3255520980907193,-0.3164228987048659,-1.159055104966737,-0.2740265729170428,-0.6314966801351254,-1.5536572938130748,1.422986705117465,Banana,Fruits
