SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,pc1,pc2
5.1,3.5,1.4,0.2,Iris-setosa,-2.6842071251039483,0.3266073147643885
4.9,3.0,1.4,0.2,Iris-setosa,-2.71539061563413,-0.16955684755602624
4.7,3.2,1.3,0.2,Iris-setosa,-2.889819539617916,-0.13734560960502795
4.6,3.1,1.5,0.2,Iris-setosa,-2.746437197308734,-0.31112431575199184
5.0,3.6,1.4,0.2,Iris-setosa,-2.7285929818313144,0.33392456356845474
5.4,3.9,1.7,0.4,Iris-setosa,-2.279897361009598,0.7477827132251336
4.6,3.4,1.4,0.3,Iris-setosa,-2.8208906821806297,-0.082104511024681
5.0,3.4,1.5,0.2,Iris-setosa,-2.6264819933238184,0.17040534896028983
4.4,2.9,1.4,0.2,Iris-setosa,-2.887958565335634,-0.5707980263315918
4.9,3.1,1.5,0.1,Iris-setosa,-2.6738446867191206,-0.10669170375273856
5.4,3.7,1.5,0.2,Iris-setosa,-2.5065267893389036,0.651935013672572
4.8,3.4,1.6,0.2,Iris-setosa,-2.613142718271056,0.021520631960257896
4.8,3.0,1.4,0.1,Iris-setosa,-2.787433975997097,-0.22774018887110628
4.3,3.0,1.1,0.1,Iris-setosa,-3.22520044627498,-0.5032799094854259
5.8,4.0,1.2,0.2,Iris-setosa,-2.643543216941146,1.1861948994134495
5.7,4.4,1.5,0.4,Iris-setosa,-2.3838693237993756,1.3447543445598622
5.4,3.9,1.3,0.4,Iris-setosa,-2.6225262031258083,0.8180896745965952
5.1,3.5,1.4,0.3,Iris-setosa,-2.6483227324791265,0.3191366677508846
5.7,3.8,1.7,0.3,Iris-setosa,-2.1990779614307634,0.8792440880917367
5.1,3.8,1.5,0.3,Iris-setosa,-2.587346188917738,0.520473638805968
5.4,3.4,1.7,0.2,Iris-setosa,-2.3105317013131335,0.397867821588892
5.1,3.7,1.5,0.4,Iris-setosa,-2.5432349073036953,0.44003175465981526
4.6,3.6,1.0,0.2,Iris-setosa,-3.215857694900105,0.14161557162558355
